Date,Transportation,Energy,DietType,TotalEmission
unknown,50,89,1,58.3
unknown,100,500,0,300
2025-01-21,2,1,0,1.6
2025-01-21,1,1,0,1.35
2025-01-14,1,1,0,1.35
2025-01-25,1,1,0,1.35
2025-01-25,1,1,0,1.35
2025-01-24,1,1,0,1.35
2025-01-18,1,1,0,1.35
2025-01-01,1,3,1,1.7
2025-01-23,1,2,1,1.65
2025-01-25,1,10,0,2.25
2025-01-25,4,3,0,2.3
2025-02-08,5,5,1,2.7
2025-02-07,2,2,1,1.8
2025-03-12,1,0,0,1.2
2025-03-11,1,0,0,1.25
2025-03-11,0,1,0,1.1
2025-03-12,1,0,0,10.149
2025-03-12,2,0,0,3.055
2025-03-12,1,0,1,15.308
2025-03-08,2,0,0,6.944999999999999
2025-03-07,1,0,0,11.834999999999999
2025-03-08,1,0,0,8.225
2025-03-07,2,0,1,16.1
2025-03-10,0,0,0,11.305
2025-03-11,1,0,0,5.04
2025-03-11,1,0,0,2.06
2025-03-08,1,0,0,10.14
2025-03-11,0,0,0,1
2025-03-10,2,2,0,5.45
2025-03-11,2,1,0,2.27
2025-03-11,2,1,0,2.27
2025-03-11,2,1,0,2.27
2025-03-11,2,1,0,2.27
2025-03-08,3,0,0,1.63
2025-03-08,0,2,0,2.7
2025-03-10,2,0,0,1.42
2025-03-11,2,0,0,1.42
2025-03-11,2,2,0,3.12
2025-03-12,2,0,0,1.42
2025-04-08,5,5,0,35.855
2025-04-11,5,3,0,37.679
2025-04-17,1000,100,1,641.4
2025-04-15,100,56,1,475
2025-04-15,100,56,1,475
2025-04-10,3,3,0,23.409999999999997
2025-04-17,3,2,0,4.17
2025-04-19,5,65,1,149.415
2025-04-16,5,3,1,34.895
2025-04-16,5,3,1,34.895
2025-04-16,5,3,1,34.895
2025-04-19,10,50,0,201.35999999999999
2025-04-19,10,50,0,201.35999999999999
2025-04-21,3,4,1,66.79
2025-04-20,109,43,0,182.8
2025-04-22,5,4,1,36.71
2025-04-20,500,3,0,134.175
2025-04-21,37,30,0,226.52999999999997
2025-04-21,63,100,1,386.94
